question_id,question_text,option_a,option_b,option_c,option_d,correct_option,category
1,This is sample question 1 evaluating logic.,Agree,Strongly Disagree,Disagree,Neutral,D,Logic
2,This is sample question 2 evaluating interest.,Agree,Neutral,Strongly Agree,Strongly Disagree,A,Personality
3,This is sample question 3 evaluating logic.,Neutral,Strongly Agree,Agree,Disagree,C,Personality
4,This is sample question 4 evaluating interest.,Strongly Agree,Neutral,Agree,Disagree,B,Personality
5,This is sample question 5 evaluating personality.,Strongly Disagree,Neutral,Strongly Agree,Agree,B,Interest
6,This is sample question 6 evaluating interest.,Disagree,Strongly Disagree,Neutral,Strongly Agree,A,Personality
7,This is sample question 7 evaluating personality.,Disagree,Agree,Neutral,Strongly Agree,A,Logic
8,This is sample question 8 evaluating logic.,Disagree,Neutral,Strongly Disagree,Agree,D,Logic
9,This is sample question 9 evaluating logic.,Agree,Strongly Agree,Disagree,Neutral,B,Logic
10,This is sample question 10 evaluating personality.,Strongly Disagree,Disagree,Neutral,Strongly Agree,B,Aptitude
11,This is sample question 11 evaluating interest.,Strongly Disagree,Agree,Neutral,Strongly Agree,C,Logic
12,This is sample question 12 evaluating logic.,Agree,Neutral,Disagree,Strongly Agree,A,Aptitude
13,This is sample question 13 evaluating interest.,Agree,Disagree,Strongly Agree,Neutral,D,Personality
14,This is sample question 14 evaluating aptitude.,Strongly Disagree,Neutral,Disagree,Strongly Agree,B,Logic
15,This is sample question 15 evaluating interest.,Strongly Agree,Agree,Disagree,Neutral,C,Interest
16,This is sample question 16 evaluating personality.,Strongly Agree,Strongly Disagree,Agree,Neutral,D,Interest
17,This is sample question 17 evaluating interest.,Disagree,Strongly Disagree,Strongly Agree,Neutral,A,Interest
18,This is sample question 18 evaluating personality.,Disagree,Neutral,Agree,Strongly Agree,D,Interest
19,This is sample question 19 evaluating aptitude.,Agree,Neutral,Disagree,Strongly Agree,A,Personality
20,This is sample question 20 evaluating interest.,Agree,Strongly Disagree,Disagree,Neutral,B,Logic
21,This is sample question 21 evaluating personality.,Strongly Agree,Neutral,Agree,Disagree,B,Personality
